"Country","Alcoholic Beverages","Animal Products","Animal fats","Aquatic Products, Other","Cereals - Excluding Beer","Eggs","Fish, Seafood","Fruits - Excluding Wine","Meat","Milk - Excluding Butter","Offals","Oilcrops","Pulses","Spices","Starchy Roots","Stimulants","Sugar Crops","Sugar & Sweeteners","Treenuts","Vegetal Products","Vegetable Oils","Vegetables","Miscellaneous","Obesity","Undernourished","Confirmed","Deaths","Recovered","Active","Population","Unit (all except Population)"
"Afghanistan",0,9.7523,0.0277,0,35.9771,0.4067,0.0647,0.5824,3.1337,5.5278,0.5916,0.2034,1.2479,0.1664,0.1941,0.5546,0,0,0.1387,40.2477,0,1.137,0.0462,4.5,"29.8",0.104893649815043,0.00388923140156186,0.0876721126181669,0.0133323057953144,38928000,"%"
"Albania",0.184,27.7469,0.0711,0,14.2331,1.8069,0.6274,1.2757,7.6582,16.475,1.1084,0.3722,1.4555,0,0.8867,0.2635,0,0.0042,0.2677,22.2552,0.0084,3.2456,0.0544,22.3,"6.2",0.675017618040874,0.0168076109936575,0.375405214940099,0.282804792107118,2838000,"%"
"Algeria",0.0323,13.836,0.0054,0,26.5633,1.2916,0.635,1.1624,3.5088,8.0616,0.3283,0.183,2.5509,0.1776,1.4638,0.4628,0,0,0.2745,36.1694,0.0269,3.1267,0.1399,26.6,"3.9",0.126570778005726,0.00431498974231801,0.0881371598620285,0.0341186284013797,44357000,"%"
"Angola",0.6285,15.2311,0.0277,0,20.3882,0.1756,5.4436,1.2754,7.6248,1.146,0.8133,2.1534,4.085,0,5.1941,0.1017,0,0.0092,0.0092,34.7782,0.0092,0.8133,0.0924,6.8,"25",0.0288450894778919,0.000824057561035607,0.0107865444929586,0.0172344874238977,32522000,"%"
"Antigua and Barbuda",0.1535,33.1901,0.1289,0,10.5108,0.485,8.2146,1.2586,16.067,7.4349,0.8534,0.7674,0.8841,0.3438,0.4666,0.4113,0,0,0.0737,16.8161,0.043,1.6024,0.2947,19.1,NA,0.126530612244898,0.00306122448979592,0.110204081632653,0.013265306122449,98000,"%"
"Argentina",0.1704,31.9799,0.0097,0,13.6702,2.0593,1.0223,0.5209,21.625,5.8322,1.4313,0.0097,0.2434,0.0292,1.3096,0.9688,0,0.0049,0.0438,18.0176,0,1.0516,0,28.5,"4.6",2.40339599356502,0.0636798378032924,1.97196597395156,0.367750181810168,45377000,"%"
"Armenia",0.0411,22.8846,0.1438,0,18.2738,1.756,0.8831,1.1142,8.5233,10.038,1.5404,0.2619,0.9191,0.0154,0.9191,0.5545,0,0.0051,0.2208,27.1154,0.0205,4.6621,0.1078,20.9,"4.3",2.63318673883627,0.0399188092016238,1.72219215155616,0.871075778078484,2956000,"%"
"Australia",0.2914,32.9787,0.074,0.0046,10.9343,1.0916,2.8585,0.518,18.8298,8.432,1.6929,0.6984,0.2683,0.1203,0.9944,0.7031,0,0,0.7724,17.0213,0.0463,1.4524,0.2174,30.4,"<2.5",0.106876601692941,0.00351401724004038,0.0978333462763066,0.00552923817659393,25754000,"%"
"Austria",0.615,30.0009,0.3376,0,13.1508,2.1456,1.8358,0.6242,13.6549,11.4954,0.5318,1.5028,0.2405,0.1341,1.045,0.726,0,0.0139,0.3561,19.9991,0.0647,1.5259,0,21.9,"<2.5",0.90656271034328,0.0109827238052502,0.649068880412834,0.246511106125196,8914000,"%"
"Azerbaijan",0.3465,16.3039,0.0596,0,28.2218,1.4078,0.4873,0.5631,6.8551,6.8497,0.6444,0.0541,0.1787,0.0108,1.7652,0.2328,0,0,0.3411,33.7015,0.0217,1.9114,0.0433,19.9,"<2.5",0.494252077562327,0.0066383062920459,0.408379501385042,0.0792342698852394,10108000,"%"
"Bahamas",0.0325,34.1684,0.0895,0,7.8081,1.6755,5.734,1.8788,20.4311,4.8312,1.4152,0.8052,0.2765,0.244,0.366,0.4311,0,0,0.1464,15.8276,0.0325,2.6759,1.1305,32.1,NA,1.63104325699746,0.033587786259542,1.00458015267176,0.592875318066158,393000,"%"
"Bangladesh",0,9.9195,0.0083,0,31.7243,0.7216,5.8306,0.3069,1.2773,1.8578,0.2239,0.5972,3.2512,0.7465,1.9574,0.1161,0.0083,0.0332,0.1078,40.0846,0,1.2026,0.0249,3.4,"14.7",0.234860931988293,0.00341736892626421,0.185565547173589,0.0458780158884394,169809000,"%"
"Barbados",0.1344,28.2153,0.112,0,12.3067,1.4508,6.6939,0.689,13.9872,5.3944,0.5826,1.2324,2.6608,0.3137,1.4228,0.3585,0,0,0.2465,21.7791,0.028,1.4844,0.9075,24.8,"3.9",0.0790940766550523,0.0024390243902439,0.0724738675958188,0.00418118466898955,287000,"%"
"Belarus",0.3401,27.0935,0.1328,0,13.7248,2.2901,2.4548,0.441,14.2402,6.0202,1.9554,0.5207,0.0053,0.0213,4.1552,0.3029,0,0,0.3454,22.9065,0.0213,2.8587,0.17,26.6,"<2.5",0.990112,0.010208,0.887861333333333,0.0920426666666667,9375000,"%"
"Belgium",0.5466,28.4976,0.4678,0,13.7687,1.9599,2.999,0.6156,10.0507,11.9121,1.0981,0.2216,0.6993,0.1182,1.9304,0.4235,0,0.0049,0.5417,21.5098,0.1133,2.5213,0,24.5,"<2.5",2.78793747286148,0.0938775510204082,0.200495006513244,2.49356491532783,11515000,"%"
"Belize",0.201,18.9431,0.0893,0,18.6156,0.9378,2.3074,1.5035,10.748,4.5999,0.2531,1.7864,5.9918,0.0521,0.4094,0.2903,0,0,0.1265,31.0607,0.0372,1.3844,0.6624,22.4,"7.5",0.750596658711217,0.0119331742243437,0.468019093078759,0.270644391408115,419000,"%"
"Benin",0.7448,11.1646,0.0078,0,18.3955,0.225,3.6853,0.3491,5.6948,1.094,0.45,3.2508,4.275,1.6293,7.7818,0.0233,0,0,0.5741,38.8393,0,1.7457,0.0698,8.2,"10.1",0.0209435662216398,0.000335817839298878,0.019084282086985,0.00152346629535588,12209000,"%"
